,Organization,Spent,Impressions,AdTotal,App
0,BERNIE 2020,5955200.0,,936.0,Google
1,BIDEN FOR PRESIDENT,2393100.0,,4306.0,Google
2,"DONALD J. TRUMP FOR PRESIDENT, INC.",5511800.0,,5823.0,Google
3,FRIENDS OF ANDREW YANG,1034300.0,,1483.0,Google
4,KAMALA HARRIS FOR THE PEOPLE,1704800.0,,2183.0,Google
5,MARIANNE WILLIAMSON FOR PRESIDENT,224900.0,,310.0,Google
6,MIKE BLOOMBERG 2020 INC,49636900.0,,51934.0,Google
7,"PETE FOR AMERICA, INC.",167500.0,,23.0,Google
8,"PETE FOR AMERICA, INC.",6867000.0,,8640.0,Google
9,"DONALD J. TRUMP FOR PRESIDENT, INC.",12805500.0,,33301.0,Google
10,TULSI NOW INC,1209300.0,,2528.0,Google
11,TULSI NOW INC,903900.0,,3357.0,Google
12,"WARREN FOR PRESIDENT, INC.",4485100.0,,14997.0,Google
13,"WELD 2020 PRESIDENTIAL CAMPAIGN COMMITTEE, INC.",28000.0,,22.0,Google
0,BERNIE 2020,361.0,135584.0,1.0,Snapchat
1,BIDEN FOR PRESIDENT,1892.0,600633.0,7.0,Snapchat
2,FRIENDS OF ANDREW YANG,155.0,15927.0,1.0,Snapchat
3,KAMALA HARRIS FOR THE PEOPLE,4869.0,1137820.0,60.0,Snapchat
4,"MIKE BLOOMBERG 2020, INC.",1163646.0,292494124.0,112.0,Snapchat
5,"PETE FOR AMERICA, INC.",73262.0,23524869.0,159.0,Snapchat
6,"WARREN FOR PRESIDENT, INC.",37914.0,8784120.0,4.0,Snapchat
0,BERNIE 2020,6529740.0,,18092.0,Facebook
1,BIDEN FOR PRESIDENT,4462590.0,,11045.0,Facebook
2,"DONALD J. TRUMP FOR PRESIDENT, INC.",8700370.0,,193821.0,Facebook
3,FRIENDS OF ANDREW YANG,773436.0,,3619.0,Facebook
4,KAMALA HARRIS FOR THE PEOPLE,2271464.0,,95384.0,Facebook
5,MARIANNE WILLIAMSON FOR PRESIDENT,1165133.0,,16706.0,Facebook
6,MIKE BLOOMBERG 2020 INC,60971527.0,,162830.0,Facebook
7,"PETE FOR AMERICA, INC.",3939370.0,,31463.0,Facebook
8,"PETE FOR AMERICA, INC.",4919124.0,,75455.0,Facebook
9,"DONALD J. TRUMP FOR PRESIDENT, INC.",9717538.0,,121776.0,Facebook
10,TULSI NOW INC,1155217.0,,6855.0,Facebook
11,"WARREN FOR PRESIDENT, INC.",3397079.0,,18390.0,Facebook
12,"WARREN FOR PRESIDENT, INC.",4535226.0,,19796.0,Facebook
13,"WELD 2020 PRESIDENTIAL CAMPAIGN COMMITTEE, INC.",6684.0,,53.0,Facebook
